"Date","RZMRE","RZYE","RQMCL","RQYL","RQYE","RZRQYE"
"2016-01-04","27,402,626,573","484,575,797,895","4,573,160","102,836,053","772,108,644","485,347,906,539"
"2016-01-05","33,426,737,789","475,037,821,454","4,279,198","102,368,063","757,383,802","475,795,205,256"
"2016-01-06","29,252,419,826","471,911,650,743","1,484,979","101,159,077","760,843,433","472,672,494,176"
"2016-01-07","7,894,567,602","466,443,947,090","255,600","100,044,022","689,704,107","467,133,651,197"
"2016-01-08","28,983,324,654","455,663,747,282","2,049,550","99,968,306","704,908,892","456,368,656,174"
"2016-01-11","24,058,303,886","439,819,813,926","2,312,555","99,393,255","669,283,223","440,489,097,149"
"2016-01-12","21,556,485,360","432,250,707,788","1,361,947","95,564,657","661,841,749","432,912,549,537"
"2016-01-13","19,636,801,143","423,530,065,764","1,082,350","92,744,199","637,733,462","424,167,799,226"
"2016-01-14","24,159,812,648","420,059,853,764","1,351,300","90,157,483","644,689,652","420,704,543,416"
"2016-01-15","21,281,323,158","412,017,156,874","2,202,592","88,097,175","614,315,699","412,631,472,573"
"2016-01-18","22,880,940,620","412,908,216,832","596,892","86,136,998","612,292,337","413,520,509,169"
"2016-01-19","26,562,328,352","411,926,731,181","531,000","84,259,831","626,328,155","412,553,059,336"
"2016-01-20","24,839,854,251","409,586,464,227","1,042,400","81,415,420","597,467,501","410,183,931,728"
"2016-01-21","22,261,040,119","405,270,608,058","1,758,300","81,686,605","579,370,977","405,849,979,035"
"2016-01-22","19,608,786,471","404,318,829,793","880,025","81,212,830","583,888,338","404,902,718,131"
"2016-01-25","16,952,659,222","402,203,566,211","961,600","81,008,762","584,489,080","402,788,055,291"
"2016-01-26","19,015,095,913","392,046,422,005","2,462,900","81,358,259","530,829,020","392,577,251,025"
"2016-01-27","20,681,629,682","383,390,619,246","701,095","78,303,887","517,920,146","383,908,539,392"
"2016-01-28","14,532,628,141","375,998,689,752","2,890,784","80,538,553","526,558,363","376,525,248,115"
"2016-01-29","17,667,724,585","374,074,144,236","1,309,100","73,411,344","528,515,298","374,602,659,534"
"2016-02-01","13,266,558,820","369,246,465,622","845,300","72,561,773","518,686,590","369,765,152,212"
"2016-02-02","17,196,981,603","369,258,699,665","1,213,641","68,583,695","523,112,893","369,781,812,558"
"2016-02-03","14,743,087,081","366,339,438,448","1,200,100","66,920,426","518,007,482","366,857,445,930"
"2016-02-04","18,105,234,419","364,055,761,650","1,061,600","65,105,799","510,155,003","364,565,916,653"
"2016-02-05","11,949,817,220","355,841,975,713","1,210,000","58,747,650","453,296,615","356,295,272,328"
"2016-02-15","15,419,275,107","357,997,001,779","3,047,141","60,430,950","476,853,093","358,473,854,872"
"2016-02-16","23,146,201,614","360,765,112,587","6,036,202","64,434,010","513,147,277","361,278,259,864"
"2016-02-17","23,668,100,598","361,581,753,584","1,756,440","64,474,896","520,306,139","362,102,059,723"
"2016-02-18","26,000,421,233","363,338,319,105","3,013,985","65,985,667","522,769,539","363,861,088,644"
"2016-02-19","21,189,658,523","363,928,803,190","1,132,653","62,588,592","507,699,937","364,436,503,127"
"2016-02-22","27,980,919,130","365,896,479,440","3,055,227","63,908,502","521,636,713","366,418,116,153"
"2016-02-23","24,771,846,449","365,762,933,506","897,946","63,375,066","524,339,592","366,287,273,098"
"2016-02-24","24,126,887,794","366,548,524,791","1,596,324","63,881,946","523,697,059","367,072,221,850"
"2016-02-25","26,004,096,589","359,870,572,258","3,691,507","64,157,899","492,443,018","360,363,015,276"
"2016-02-26","18,515,493,989","357,625,014,971","2,302,600","62,191,007","475,242,268","358,100,257,239"
"2016-02-29","15,954,440,375","349,830,134,491","3,842,196","64,695,672","473,495,704","350,303,630,195"
"2016-03-01","18,113,183,230","348,407,484,917","1,695,356","63,835,803","479,273,379","348,886,758,296"
"2016-03-02","25,495,180,892","350,026,780,836","2,413,100","63,413,434","504,544,461","350,531,325,297"
"2016-03-03","27,911,603,537","351,166,323,022","2,070,561","63,682,242","500,713,920","351,667,036,942"
"2016-03-04","23,107,469,138","346,275,888,727","1,967,079","60,880,642","477,013,647","346,752,902,374"
"2016-03-07","20,098,767,237","348,322,401,889","1,822,869","61,408,018","486,432,187","348,808,834,076"
"2016-03-08","22,259,291,896","348,089,980,926","3,039,244","60,578,102","495,892,939","348,585,873,865"
"2016-03-09","16,951,213,927","346,510,690,799","2,089,779","61,281,106","495,202,566","347,005,893,365"
"2016-03-10","13,872,157,961","344,711,535,606","1,158,875","59,233,600","479,123,949","345,190,659,555"
"2016-03-11","11,493,723,932","343,658,632,343","1,163,251","58,401,795","471,103,073","344,129,735,416"
"2016-03-14","23,305,161,496","346,937,834,506","2,048,120","56,665,692","471,680,476","347,409,514,982"
"2016-03-15","17,262,826,702","344,817,356,623","3,090,658","58,538,872","474,098,712","345,291,455,335"
"2016-03-16","16,262,718,463","343,303,261,117","1,179,050","58,240,849","471,635,005","343,774,896,122"
"2016-03-17","29,186,721,307","348,891,009,503","3,274,401","57,729,504","492,837,107","349,383,846,610"
"2016-03-18","37,543,969,217","350,310,906,516","4,972,665","58,197,852","506,900,624","350,817,807,140"
"2016-03-21","44,265,717,167","357,579,425,537","5,027,476","58,800,184","538,872,224","358,118,297,761"
"2016-03-22","35,501,793,056","360,648,135,772","5,260,179","59,833,340","524,656,447","361,172,792,219"
"2016-03-23","32,057,030,389","363,609,348,818","3,560,827","59,916,870","538,853,981","364,148,202,799"
"2016-03-24","35,358,343,485","363,716,545,508","4,090,008","60,073,723","523,080,723","364,239,626,231"
"2016-03-25","27,097,779,184","365,099,695,805","4,028,187","58,426,670","522,419,826","365,622,115,631"
"2016-03-28","30,137,411,877","365,610,965,603","3,528,629","59,506,897","523,861,147","366,134,826,750"
"2016-03-29","24,754,597,695","364,985,120,846","2,340,499","57,620,488","504,874,314","365,489,995,160"
"2016-03-30","32,605,875,387","368,148,068,413","4,160,899","57,287,780","512,075,805","368,660,144,218"
"2016-03-31","35,317,375,296","368,548,596,100","2,803,681","56,889,882","512,712,257","369,061,308,357"
"2016-04-01","26,351,411,645","365,714,382,586","3,226,479","56,198,097","493,229,366","366,207,611,952"
"2016-04-05","37,728,577,066","372,017,861,270","6,727,108","59,961,677","541,090,409","372,558,951,679"
"2016-04-06","34,447,663,979","373,565,116,504","2,688,313","59,182,913","540,056,979","374,105,173,483"
"2016-04-07","34,620,907,759","373,834,350,901","3,082,840","57,199,438","522,965,243","374,357,316,144"
"2016-04-08","27,926,476,614","372,518,701,480","3,022,412","55,273,486","503,146,483","373,021,847,963"
"2016-04-11","32,275,839,811","375,349,331,104","5,641,153","58,188,327","531,252,101","375,880,583,205"
"2016-04-12","26,684,621,545","373,603,530,094","2,860,450","60,002,842","529,499,523","374,133,029,617"
"2016-04-13","42,497,414,125","378,112,662,549","4,223,678","59,122,929","533,865,003","378,646,527,552"
"2016-04-14","29,193,494,368","379,679,462,135","2,491,950","59,554,621","535,793,604","380,215,255,739"
"2016-04-15","24,429,152,925","377,518,994,981","5,794,667","62,426,794","540,979,233","378,059,974,214"
"2016-04-18","25,111,707,103","377,714,949,618","4,097,427","64,180,180","536,987,595","378,251,937,213"
"2016-04-19","24,134,625,997","378,502,459,243","4,528,612","65,235,390","544,540,355","379,046,999,598"
"2016-04-20","33,052,716,300","371,693,908,395","4,253,140","66,787,155","540,740,300","372,234,648,695"
"2016-04-21","23,272,192,698","369,254,391,138","2,105,981","66,669,622","537,669,445","369,792,060,583"
"2016-04-22","19,544,789,286","368,107,349,131","4,543,102","66,839,531","534,462,980","368,641,812,111"
"2016-04-25","16,372,388,602","367,102,577,538","2,642,480","67,633,796","537,891,572","367,640,469,110"
"2016-04-26","17,122,187,007","367,002,748,117","2,245,904","67,029,996","534,913,806","367,537,661,923"
"2016-04-27","19,195,734,595","365,776,987,603","3,105,841","67,878,298","533,427,353","366,310,414,956"
